Time,Document Name,Sentiment Value
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_31.txt,-0.9999989867210388
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_32.txt,-0.9999932646751404
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_33.txt,-0.9999986886978149
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_4.txt,-0.999998927116394
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_5.txt,-0.9999988079071045
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_6.txt,-0.9999992251396179
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_7.txt,-0.9999992847442627
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_8.txt,-0.9999990463256836
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_9.txt,-0.9999995827674866
2017-06,translated_2017-06-30 [COMPANY_1] Performancebegründung_page_1.txt,0.2790607810020447
2017-06,translated_2017-06-30 [COMPANY_1] Performancebegründung_page_2.txt,9.719233639771119e-05
2017-06,translated_2017-06-30 [COMPANY_1] Performancebegründung_page_3.txt,-0.002434263238683343
2017-06,translated_2017-06-30 [COMPANY_1] Performancebegründung_page_4.txt,0.725810170173645
2017-06,translated_2017-06-30 [COMPANY_1] Performancebegründung_page_5.txt,-0.9991526007652283
2017-06,translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_1.txt,-0.9999619722366333
2017-06,translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_10.txt,-0.9999969601631165
2017-06,translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_11.txt,-0.9999980926513672
2017-06,translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_12.txt,-0.9999975562095642
2017-06,translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_13.txt,-0.9999982714653015
2017-06,translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_14.txt,-0.9999979734420776
2017-06,translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_15.txt,-0.9999979734420776
2017-06,translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_16.txt,-0.999998927116394
2017-06,translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_17.txt,-0.9999987483024597
2017-06,translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_18.txt,-0.9999983310699463
