structure,type,seas_adj,date,value
ks_i11_econ_hist_q_hist,index,na,2015-04-01,-21.996124031007753
ks_i11_econ_hist_q_hist,index,na,2015-07-01,-35.59670781893004
ks_i11_econ_hist_q_hist,index,na,2015-10-01,-29.562737642585553
ks_i11_econ_hist_q_hist,index,na,2016-01-01,-34.69041560644614
ks_i11_econ_hist_q_hist,index,na,2016-04-01,-30.350553505535053
ks_i11_econ_hist_q_hist,index,na,2016-07-01,-27.46693794506612
ks_i11_econ_hist_q_hist,index,na,2016-10-01,-18.35564053537285
ks_i11_econ_hist_q_hist,index,na,2017-01-01,-8.691983122362869
ks_i11_econ_hist_q_hist,index,na,2017-04-01,-5.635148042024833
ks_i11_econ_hist_q_hist,index,na,2017-07-01,9.671848013816927
ks_i11_econ_hist_q_hist,index,na,2017-10-01,13.351749539594843
ks_i11_econ_hist_q_hist,index,na,2018-01-01,24.436860068259385
ks_i11_econ_hist_q_hist,index,na,2018-04-01,18.53411962931761
ks_i11_econ_hist_q_hist,index,na,2018-07-01,13.403041825095057
ks_i11_econ_hist_q_hist,index,na,2018-10-01,18.367346938775512
ks_i11_econ_hist_q_hist,index,na,2019-01-01,9.333333333333334
ks_i11_econ_hist_q_hist,index,na,2019-04-01,4.96
ks_i11_econ_hist_q_hist,index,na,2019-07-01,4.32300163132137
ks_i11_econ_hist_q_hist,index,na,2019-10-01,-10.483870967741936
ks_i11_econ_hist_q_hist,index,na,2020-01-01,6.103286384976526
ks_i11_econ_hist_q_hist,index,na,2020-04-01,-40.23732470334412
ks_i11_econ_hist_q_hist,index,na,2020-07-01,-87.35119047619048
ks_i11_econ_hist_q_hist,index,na,2020-10-01,-94.25872093023256
ks_i11_econ_hist_q_hist,index,na,2021-01-01,-94.04682274247492
ks_i11_econ_hist_q_hist,index,na,2021-04-01,-90.29202841357538
ks_i11_econ_hist_q_hist,index,na,2021-07-01,-41.70040485829959
